SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_7_length_151977_cov_36.967646	119188	120141	-	plcA	1-954/954	===============	0/0	100	97.48	vfdb	NP_463732	(plcA) phosphatidylinositol-specific phospholipase c [PlcA (VF0063)] [Listeria monocytogenes EGD-e]	
SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_7_length_151977_cov_36.967646	120384	121973	+	hly	1-1590/1590	===============	0/0	100	97.23	vfdb	NP_463733	(hly) listeriolysin O precursor [LLO (VF0064)] [Listeria monocytogenes EGD-e]	
SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_7_length_151977_cov_36.967646	122308	123840	+	mpl	1-1533/1533	===============	0/0	100	94.85	vfdb	NP_463734	(mpl) Zinc metalloproteinase precursor [Mpl (VF0065)] [Listeria monocytogenes EGD-e]	
SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_7_length_151977_cov_36.967646	124040	125957	+	actA	1-1918/1920	===============	0/0	99.9	94.16	vfdb	NP_463735	(actA) actin-assembly inducing protein precursor [ActA (VF0066)] [Listeria monocytogenes EGD-e]	
SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_7_length_151977_cov_36.967646	125996	126864	+	plcB	2-870/870	===============	0/0	99.89	95.51	vfdb	NP_463736	(plcB) phospholipase C [PlcB (VF0067)] [Listeria monocytogenes EGD-e]	
SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_8_length_130534_cov_35.763149	70210	71619	-	iap/cwhA	1-1449/1449	========/======	May-45	97.1	94.42	vfdb	NP_464110	(iap/cwhA) P60 extracellular protein invasion associated protein Iap [p60 (VF0068)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_10_length_109517_cov_37.925103	88380	89261	-	prsA2	1-882/882	===============	0/0	100	96.26	vfdb	NP_465743	(prsA2) post translocation chaperone PrsA2 [PrsA2 (VF0449)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_13_length_95564_cov_46.927649	90832	93294	-	clpC	1-2463/2463	===============	0/0	100	94.28	vfdb	NP_463763	(clpC) endopeptidase Clp ATP-binding chain C [ClpC (VF0072)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_16_length_67601_cov_40.988099	9084	10340	-	vip	1-1200/1200	========/======	Mar-57	100	85.36	vfdb	NP_463850	(vip) surface adhesin Vip [Vip (VF0443)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_17_length_66005_cov_47.018732	26466	27866	-	pdgA	1-1401/1401	===============	0/0	100	97	vfdb	NP_463944	(pdgA) Peptidoglycan N-deacetylase [PgdA (VF0442)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_17_length_66005_cov_47.018732	33252	35723	-	inlF	1-2466/2466	========/======	8-Mar	99.96	80.95	vfdb	NP_463939	(inlF) internalin F [InlF (VF0447)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_1_length_294781_cov_36.721500	32330	33715	+	hpt	1-1386/1386	===============	0/0	100	97.98	vfdb	NP_464364	(hpt) hexose phosphate transport protein [Hpt (VF0264)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_1_length_294781_cov_36.721500	131692	132687	+	lplA1	1-996/996	===============	0/0	100	92.77	vfdb	NP_464456	(lplA1) lipoate protein ligase [LplA1 (VF0347)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_1_length_294781_cov_36.721500	190720	192888	-	clpE	1-2175/2175	========/======	6-Jan	99.72	93.56	vfdb	NP_464522	(clpE) ATP-dependent protease [ClpE (VF0073)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_20_length_28268_cov_38.810952	19554	20171	-	lntA	1-618/618	===============	0/0	100	95.95	vfdb	NP_463967	(lntA) listeria nuclear targeted protein A [LntA (VF0440)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_20_length_28268_cov_38.810952	21873	23763	-	inlB	1-1891/1893	===============	0/0	99.89	92.44	vfdb	NP_463963	(inlB) Internalin B [InlB (VF0070)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_20_length_28268_cov_38.810952	23848	26241	-	inlA	1-2403/2403	========/======	9-Jan	99.63	96.09	vfdb	NP_463962	(inlA) Internalin A [InlA (VF0069)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_23_length_21725_cov_32.964534	17756	19642	+	oatA	1-1869/1869	========/======	18-Feb	100	93.48	vfdb	NP_464816	(oatA) peptidoglycan O-acetyltransferase [OatA (VF0441)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_23_length_21725_cov_32.964534	19675	21495	-	inlK	1-1797/1797	========/======	24-Feb	100	89.18	vfdb	NP_464815	(inlK) internalin K [InlK (VF0439)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_25_length_10301_cov_6.341459	5000	5149	+	llsA	1-150/150	===============	0/0	100	98	vfdb	AHK25016	(llsA) listeriolysin S [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_25_length_10301_cov_6.341459	5214	6101	+	llsG	1-888/888	===============	0/0	100	97.3	vfdb	AHK25017	(llsG) ABC transporter ATP-binding protein LlsG [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_25_length_10301_cov_6.341459	6101	6850	+	llsH	1-750/750	===============	0/0	100	97.6	vfdb	AHK25018	(llsH) ABC transporter permease protein LlsH [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_25_length_10301_cov_6.341459	6891	7208	+	llsX	1-318/318	===============	0/0	100	97.48	vfdb	AHK25019	(llsX) LlsX [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_25_length_10301_cov_6.341459	7205	8080	+	llsB	1-876/876	===============	0/0	100	96.69	vfdb	AHK25020	(llsB) SagB family dehydrogenase LlsB [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_25_length_10301_cov_6.341459	8088	9005	+	llsY	1-918/918	===============	0/0	100	96.3	vfdb	AHK25021	(llsY) LlsY [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_25_length_10301_cov_6.341459	8998	10301	+	llsD	1-1304/1314	===============	0/0	99.24	97.7	vfdb	AHK25022	(llsD) streptolysin-associated protein LlsD [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_3_length_289014_cov_40.704362	220735	223335	+	lap	1-2601/2601	===============	0/0	100	97.08	vfdb	NP_465159	(lap) Listeria adhesion protein Lap [Lap (VF0444)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_3_length_289014_cov_40.704362	263190	268328	-	lapB	1-5136/5136	========/======	3-Jan	100	93.34	vfdb	NP_465191	(lapB) Listeria adhesion protein LapB [LapB (VF0446)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_4_length_255590_cov_49.273511	6428	7318	-	inlC	1-891/891	===============	0/0	100	97.08	vfdb	NP_465311	(inlC) internalin C [InlC (VF0438)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_4_length_255590_cov_49.273511	50217	51929	+	fbpA	1-1713/1713	===============	0/0	100	91.65	vfdb	NP_465354	(fbpA) fibronectin-binding protein [FbpA (VF0349)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_4_length_255590_cov_49.273511	66500	66964	-	lspA	1-465/465	===============	0/0	100	97.63	vfdb	NP_465369	(lspA) signal peptidase II [Lsp (VF0351)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_4_length_255590_cov_49.273511	69889	70821	-	lpeA	1-933/933	===============	0/0	100	96.68	vfdb	NP_465372	(lpeA) lipoprotein promoting cell invasion [LpeA (VF0346)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_5_length_222940_cov_44.626979	41035	41472	+	gtcA	1-438/438	========/======	4-Feb	99.54	80.68	vfdb	NP_466072	(gtcA) wall teichoic acid glycosylation protein GtcA [GtcA (VF0448)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_5_length_222940_cov_44.626979	123844	124440	-	clpP	1-597/597	===============	0/0	100	96.82	vfdb	NP_465991	(clpP) ATP-dependent Clp protease proteolytic subunit [ClpP (VF0074)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_6_length_185500_cov_37.744693	39153	40130	-	bsh	1-978/978	===============	0/0	100	97.55	vfdb	NP_465591	(bsh) bile salt hydrolase [BSH (VF0350)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_7_length_178745_cov_43.819761	24911	25779	-	plcB	2-870/870	===============	0/0	99.89	95.51	vfdb	NP_463736	(plcB) phospholipase C [PlcB (VF0067)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_7_length_178745_cov_43.819761	25818	27735	-	actA	1-1918/1920	===============	0/0	99.9	94.16	vfdb	NP_463735	(actA) actin-assembly inducing protein precursor [ActA (VF0066)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_7_length_178745_cov_43.819761	27935	29467	-	mpl	1-1533/1533	===============	0/0	100	94.85	vfdb	NP_463734	(mpl) Zinc metalloproteinase precursor [Mpl (VF0065)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_7_length_178745_cov_43.819761	29802	31391	-	hly	1-1590/1590	===============	0/0	100	97.23	vfdb	NP_463733	(hly) listeriolysin O precursor [LLO (VF0064)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_7_length_178745_cov_43.819761	31634	32587	+	plcA	1-954/954	===============	0/0	100	97.48	vfdb	NP_463732	(plcA) phosphatidylinositol-specific phospholipase c [PlcA (VF0063)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_7_length_178745_cov_43.819761	32860	33573	+	prfA	1-714/714	===============	0/0	100	97.48	vfdb	NP_463731	(prfA) listeriolysin positive regulatory protein [PrfA (VF0062)] [Listeria monocytogenes EGD-e]	
SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013330_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_8_length_168139_cov_38.887312	58915	60324	+	iap/cwhA	1-1449/1449	========/======	May-45	97.1	94.42	vfdb	NP_464110	(iap/cwhA) P60 extracellular protein invasion associated protein Iap [p60 (VF0068)] [Listeria monocytogenes EGD-e]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_10_length_150312_cov_40.367993	20096	20964	-	plcB	2-870/870	===============	0/0	99.89	95.51	vfdb	NP_463736	(plcB) phospholipase C [PlcB (VF0067)] [Listeria monocytogenes EGD-e]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_10_length_150312_cov_40.367993	21003	22920	-	actA	1-1918/1920	===============	0/0	99.9	94.16	vfdb	NP_463735	(actA) actin-assembly inducing protein precursor [ActA (VF0066)] [Listeria monocytogenes EGD-e]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_10_length_150312_cov_40.367993	23120	24652	-	mpl	1-1533/1533	===============	0/0	100	94.85	vfdb	NP_463734	(mpl) Zinc metalloproteinase precursor [Mpl (VF0065)] [Listeria monocytogenes EGD-e]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_10_length_150312_cov_40.367993	24987	26576	-	hly	1-1590/1590	===============	0/0	100	97.23	vfdb	NP_463733	(hly) listeriolysin O precursor [LLO (VF0064)] [Listeria monocytogenes EGD-e]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_10_length_150312_cov_40.367993	26819	27772	+	plcA	1-954/954	===============	0/0	100	97.48	vfdb	NP_463732	(plcA) phosphatidylinositol-specific phospholipase c [PlcA (VF0063)] [Listeria monocytogenes EGD-e]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_10_length_150312_cov_40.367993	28045	28758	+	prfA	1-714/714	===============	0/0	100	97.48	vfdb	NP_463731	(prfA) listeriolysin positive regulatory protein [PrfA (VF0062)] [Listeria monocytogenes EGD-e]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_12_length_119231_cov_41.600626	62819	63415	-	clpP	1-597/597	===============	0/0	100	96.82	vfdb	NP_465991	(clpP) ATP-dependent Clp protease proteolytic subunit [ClpP (VF0074)] [Listeria monocytogenes EGD-e]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_15_length_61450_cov_51.219494	19573	20010	-	gtcA	1-438/438	========/======	4-Feb	99.54	80.68	vfdb	NP_466072	(gtcA) wall teichoic acid glycosylation protein GtcA [GtcA (VF0448)] [Listeria monocytogenes EGD-e]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_1_length_302985_cov_37.148849	222	1535	-	llsD	1-1314/1314	===============	0/0	100	98.1	vfdb	AHK25022	(llsD) streptolysin-associated protein LlsD [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_1_length_302985_cov_37.148849	1528	2445	-	llsY	1-918/918	===============	0/0	100	96.3	vfdb	AHK25021	(llsY) LlsY [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_1_length_302985_cov_37.148849	2453	3328	-	llsB	1-876/876	===============	0/0	100	96.69	vfdb	AHK25020	(llsB) SagB family dehydrogenase LlsB [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_1_length_302985_cov_37.148849	3325	3642	-	llsX	1-318/318	===============	0/0	100	97.48	vfdb	AHK25019	(llsX) LlsX [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_1_length_302985_cov_37.148849	3683	4432	-	llsH	1-750/750	===============	0/0	100	97.6	vfdb	AHK25018	(llsH) ABC transporter permease protein LlsH [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_1_length_302985_cov_37.148849	4432	5319	-	llsG	1-888/888	===============	0/0	100	97.3	vfdb	AHK25017	(llsG) ABC transporter ATP-binding protein LlsG [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_1_length_302985_cov_37.148849	5384	5533	-	llsA	1-150/150	===============	0/0	100	98	vfdb	AHK25016	(llsA) listeriolysin S [LLS (VF0410)] [Listeria innocua SLCC6294]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_1_length_302985_cov_37.148849	112412	114580	+	clpE	1-2175/2175	========/======	6-Jan	99.72	93.56	vfdb	NP_464522	(clpE) ATP-dependent protease [ClpE (VF0073)] [Listeria monocytogenes EGD-e]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_1_length_302985_cov_37.148849	172613	173608	-	lplA1	1-996/996	===============	0/0	100	92.77	vfdb	NP_464456	(lplA1) lipoate protein ligase [LplA1 (VF0347)] [Listeria monocytogenes EGD-e]	
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017	/home/maa/himabindu/results/SPAdes_output/SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017/contigs.fasta	NODE_1_length_302985_cov_37.148849	271585	272970	-	hpt	1-1386/1386	===============	0/0	100	97.98	vfdb	NP_464364	(hpt) hexose phosphate transport protein [Hpt (VF0264)] [Listeria monocytogenes EGD-e]	
